in total there are 13949 words in the development set
out of which your classifier mislabeled 1919

If I had labeled all words as non-entity, I would have mislabeled 2004

The following features have been used:

pos
find_Names


Decision tree:
correct=B-EntityPER guess=O        word=mîme                          
correct=B-EntityPER guess=O        word=mîn                           
correct=B-EntityPER guess=O        word=mîn                           
correct=B-EntityPER guess=O        word=mîn                           
correct=B-EntityPER guess=O        word=mîn                           
correct=B-EntityPER guess=O        word=mîn                           
correct=B-EntityPER guess=O        word=mîn                           
correct=B-EntityPER guess=O        word=mîn                           
correct=B-EntityPER guess=O        word=mîn                           
correct=B-EntityPER guess=O        word=mîn                           
correct=B-EntityPER guess=O        word=mîne                          
correct=B-EntityPER guess=O        word=mîns                          
correct=B-EntityPER guess=O        word=mîns                          
correct=B-EntityPER guess=O        word=mîns                          
correct=B-EntityPER guess=O        word=niun                          
correct=B-EntityPER guess=O        word=ritter                        
correct=B-EntityPER guess=O        word=ritter                        
correct=B-EntityPER guess=O        word=ritter                        
correct=B-EntityPER guess=O        word=ritter                        
correct=B-EntityPER guess=O        word=ritters                       
correct=B-EntityPER guess=O        word=rois                          
correct=B-EntityPER guess=O        word=rois                          
correct=B-EntityPER guess=O        word=rîch                          
correct=B-EntityPER guess=O        word=sehs                          
correct=B-EntityPER guess=O        word=sîme                          
correct=B-EntityPER guess=O        word=sîme                          
correct=B-EntityPER guess=O        word=sîme                          
correct=B-EntityPER guess=O        word=sîme                          
correct=B-EntityPER guess=O        word=sîn                           
correct=B-EntityPER guess=O        word=sîn                           
correct=B-EntityPER guess=O        word=sîn                           
correct=B-EntityPER guess=O        word=sîn                           
correct=B-EntityPER guess=O        word=sîn                           
correct=B-EntityPER guess=O        word=sîn                           
correct=B-EntityPER guess=O        word=sîn                           
correct=B-EntityPER guess=O        word=sînen                         
correct=B-EntityPER guess=O        word=sînen                         
correct=B-EntityPER guess=O        word=sînen                         
correct=B-EntityPER guess=O        word=sînen                         
correct=B-EntityPER guess=O        word=sînen                         
correct=B-EntityPER guess=O        word=sînen                         
correct=B-EntityPER guess=O        word=sînen                         
correct=B-EntityPER guess=O        word=sîner                         
correct=B-EntityPER guess=O        word=sîner                         
correct=B-EntityPER guess=O        word=sîner                         
correct=B-EntityPER guess=O        word=sîner                         
correct=B-EntityPER guess=O        word=sîner                         
correct=B-EntityPER guess=O        word=sîner                         
correct=B-EntityPER guess=O        word=sîns                          
correct=B-EntityPER guess=O        word=sölher                        
correct=B-EntityPER guess=O        word=ter                           
correct=B-EntityPER guess=O        word=tûsent                        
correct=B-EntityPER guess=O        word=undertân                      
correct=B-EntityPER guess=O        word=vier                          
correct=B-EntityPER guess=O        word=vier                          
correct=B-EntityPER guess=O        word=vier                          
correct=B-EntityPER guess=O        word=vier                          
correct=B-EntityPER guess=O        word=vier                          
correct=B-EntityPER guess=O        word=vil                           
correct=B-EntityPER guess=O        word=vil                           
correct=B-EntityPER guess=O        word=vil                           
correct=B-EntityPER guess=O        word=vil                           
correct=B-EntityPER guess=O        word=vil                           
correct=B-EntityPER guess=O        word=volc                          
correct=B-EntityPER guess=O        word=vrou                          
correct=B-EntityPER guess=O        word=vrou                          
correct=B-EntityPER guess=O        word=vrou                          
correct=B-EntityPER guess=O        word=vrou                          
correct=B-EntityPER guess=O        word=vroun                         
correct=B-EntityPER guess=O        word=vroun                         
correct=B-EntityPER guess=O        word=vroun                         
correct=B-EntityPER guess=O        word=vroun                         
correct=B-EntityPER guess=O        word=vroun                         
correct=B-EntityPER guess=O        word=vroun                         
correct=B-EntityPER guess=O        word=vrouwe                        
correct=B-EntityPER guess=O        word=vrouwe                        
correct=B-EntityPER guess=O        word=vrouwe                        
correct=B-EntityPER guess=O        word=vrouwe                        
correct=B-EntityPER guess=O        word=vrouwe                        
correct=B-EntityPER guess=O        word=vrouwe                        
correct=B-EntityPER guess=O        word=vrouwe                        
correct=B-EntityPER guess=O        word=vrouwe                        
correct=B-EntityPER guess=O        word=vrouwe                        
correct=B-EntityPER guess=O        word=vrouwe                        
correct=B-EntityPER guess=O        word=vrouwe                        
correct=B-EntityPER guess=O        word=vrouwe                        
correct=B-EntityPER guess=O        word=vrouwe                        
correct=B-EntityPER guess=O        word=vrouwe                        
correct=B-EntityPER guess=O        word=vrouwen                       
correct=B-EntityPER guess=O        word=vünfzehen                     
correct=B-EntityPER guess=O        word=weideman                      
correct=B-EntityPER guess=O        word=werder                        
correct=B-EntityPER guess=O        word=werder                        
correct=B-EntityPER guess=O        word=werder                        
correct=B-EntityPER guess=O        word=wirdic                        
correct=B-EntityPER guess=O        word=wîb                           
correct=B-EntityPER guess=O        word=zem                           
correct=B-EntityPER guess=O        word=zem                           
correct=B-EntityPER guess=O        word=zer                           
correct=B-EntityPER guess=O        word=zer                           
correct=B-EntityPER guess=O        word=zer                           
correct=B-EntityPER guess=O        word=zer                           
correct=B-EntityPER guess=O        word=zwei                          
correct=B-EntityPER guess=O        word=zwei                          
correct=B-EntityPER guess=O        word=zwelve                        
correct=I-EntityLOC guess=B-EntityPER word=Abenberc                      
correct=I-EntityLOC guess=B-EntityPER word=Bertâne                       
correct=I-EntityLOC guess=B-EntityPER word=Brizljân                      
correct=I-EntityLOC guess=B-EntityPER word=Brôbarz                       
correct=I-EntityLOC guess=B-EntityPER word=Brôbarz                       
correct=I-EntityLOC guess=B-EntityPER word=Salvâsche                     
correct=I-EntityLOC guess=B-EntityPER word=Tampenteires                  
correct=I-EntityLOC guess=B-EntityPER word=Terre                         
correct=I-EntityLOC guess=O        word=,                             
correct=I-EntityLOC guess=O        word=,                             
correct=I-EntityLOC guess=O        word=,                             
correct=I-EntityLOC guess=O        word=Salvaesche                    
correct=I-EntityLOC guess=O        word=Ukersê                        
correct=I-EntityLOC guess=O        word=ah                            
correct=I-EntityLOC guess=O        word=al                            
correct=I-EntityLOC guess=O        word=albe                          
correct=I-EntityLOC guess=O        word=aller                         
correct=I-EntityLOC guess=O        word=an                            
correct=I-EntityLOC guess=O        word=anger                         
correct=I-EntityLOC guess=O        word=bette                         
correct=I-EntityLOC guess=O        word=bette                         
correct=I-EntityLOC guess=O        word=bette                         
correct=I-EntityLOC guess=O        word=bette                         
correct=I-EntityLOC guess=O        word=breit                         
correct=I-EntityLOC guess=O        word=brunne                        
correct=I-EntityLOC guess=O        word=brunne                        
correct=I-EntityLOC guess=O        word=brunne                        
correct=I-EntityLOC guess=O        word=brükke                        
correct=I-EntityLOC guess=O        word=burc                          
correct=I-EntityLOC guess=O        word=burc                          
correct=I-EntityLOC guess=O        word=burc                          
correct=I-EntityLOC guess=O        word=burc                          
correct=I-EntityLOC guess=O        word=burc                          
correct=I-EntityLOC guess=O        word=bürge                         
correct=I-EntityLOC guess=O        word=daz                           
correct=I-EntityLOC guess=O        word=de                            
correct=I-EntityLOC guess=O        word=de                            
correct=I-EntityLOC guess=O        word=de                            
correct=I-EntityLOC guess=O        word=dem                           
correct=I-EntityLOC guess=O        word=dem                           
correct=I-EntityLOC guess=O        word=den                           
correct=I-EntityLOC guess=O        word=den                           
correct=I-EntityLOC guess=O        word=der                           
correct=I-EntityLOC guess=O        word=der                           
correct=I-EntityLOC guess=O        word=der                           
correct=I-EntityLOC guess=O        word=des                           
correct=I-EntityLOC guess=O        word=dier                          
correct=I-EntityLOC guess=O        word=diu                           
correct=I-EntityLOC guess=O        word=dâ                            
correct=I-EntityLOC guess=O        word=dâ                            
correct=I-EntityLOC guess=O        word=ein                           
correct=I-EntityLOC guess=O        word=ende                          
correct=I-EntityLOC guess=O        word=erde                          
correct=I-EntityLOC guess=O        word=erzeigen                      
correct=I-EntityLOC guess=O        word=gadem                         
correct=I-EntityLOC guess=O        word=gehoehet                      
correct=I-EntityLOC guess=O        word=gemach                        
correct=I-EntityLOC guess=O        word=gemach                        
correct=I-EntityLOC guess=O        word=gevar                         
correct=I-EntityLOC guess=O        word=got                           
correct=I-EntityLOC guess=O        word=graben                        
correct=I-EntityLOC guess=O        word=graben                        
correct=I-EntityLOC guess=O        word=graben                        
correct=I-EntityLOC guess=O        word=grüenen                       
correct=I-EntityLOC guess=O        word=habe                          
correct=I-EntityLOC guess=O        word=hof                           
correct=I-EntityLOC guess=O        word=houbetstat                    
correct=I-EntityLOC guess=O        word=hêr                           
correct=I-EntityLOC guess=O        word=hûs                           
correct=I-EntityLOC guess=O        word=hûs                           
correct=I-EntityLOC guess=O        word=im                            
correct=I-EntityLOC guess=O        word=in                            
correct=I-EntityLOC guess=O        word=in                            
correct=I-EntityLOC guess=O        word=in                            
correct=I-EntityLOC guess=O        word=in                            
correct=I-EntityLOC guess=O        word=kemenâten                     
correct=I-EntityLOC guess=O        word=kemenâten                     
correct=I-EntityLOC guess=O        word=kemenâten                     
correct=I-EntityLOC guess=O        word=kielen                        
correct=I-EntityLOC guess=O        word=klûsen                        
correct=I-EntityLOC guess=O        word=künec                         
correct=I-EntityLOC guess=O        word=lande                         
correct=I-EntityLOC guess=O        word=lande                         
correct=I-EntityLOC guess=O        word=landes                        
correct=I-EntityLOC guess=O        word=lant                          
correct=I-EntityLOC guess=O        word=lant                          
correct=I-EntityLOC guess=O        word=lant                          
correct=I-EntityLOC guess=O        word=lant                          
correct=I-EntityLOC guess=O        word=lant                          
correct=I-EntityLOC guess=O        word=lant                          
correct=I-EntityLOC guess=O        word=lant                          
correct=I-EntityLOC guess=O        word=lant                          
correct=I-EntityLOC guess=O        word=lant                          
correct=I-EntityLOC guess=O        word=lant                          
correct=I-EntityLOC guess=O        word=lant                          
correct=I-EntityLOC guess=O        word=lant                          
correct=I-EntityLOC guess=O        word=lant                          
correct=I-EntityLOC guess=O        word=lant                          
correct=I-EntityLOC guess=O        word=lant                          
correct=I-EntityLOC guess=O        word=linden                        
correct=I-EntityLOC guess=O        word=lâzen                         
correct=I-EntityLOC guess=O        word=lîten                         
correct=I-EntityLOC guess=O        word=lîten                         
correct=I-EntityLOC guess=O        word=maneger                       
correct=I-EntityLOC guess=O        word=marc                          
correct=I-EntityLOC guess=O        word=mer                           
correct=I-EntityLOC guess=O        word=mit                           
correct=I-EntityLOC guess=O        word=mitteln                       
correct=I-EntityLOC guess=O        word=mos                           
correct=I-EntityLOC guess=O        word=muntâne                       
correct=I-EntityLOC guess=O        word=ninder                        
correct=I-EntityLOC guess=O        word=niwe                          
correct=I-EntityLOC guess=O        word=ober                          
correct=I-EntityLOC guess=O        word=ort                           
correct=I-EntityLOC guess=O        word=ort                           
correct=I-EntityLOC guess=O        word=palas                         
correct=I-EntityLOC guess=O        word=palas                         
correct=I-EntityLOC guess=O        word=palas                         
correct=I-EntityLOC guess=O        word=palas                         
correct=I-EntityLOC guess=O        word=palas                         
correct=I-EntityLOC guess=O        word=palase                        
correct=I-EntityLOC guess=O        word=parn                          
correct=I-EntityLOC guess=O        word=plân                          
correct=I-EntityLOC guess=O        word=plân                          
correct=I-EntityLOC guess=O        word=plâne                         
correct=I-EntityLOC guess=O        word=porten                        
correct=I-EntityLOC guess=O        word=porten                        
correct=I-EntityLOC guess=O        word=porten                        
correct=I-EntityLOC guess=O        word=reste                         
correct=I-EntityLOC guess=O        word=rinc                          
correct=I-EntityLOC guess=O        word=rinc                          
correct=I-EntityLOC guess=O        word=ronen                         
correct=I-EntityLOC guess=O        word=royâm                         
correct=I-EntityLOC guess=O        word=rîche                         
correct=I-EntityLOC guess=O        word=rîchheit                      
correct=I-EntityLOC guess=O        word=sach                          
correct=I-EntityLOC guess=O        word=schiffe                       
correct=I-EntityLOC guess=O        word=selbe                         
correct=I-EntityLOC guess=O        word=slahte                        
correct=I-EntityLOC guess=O        word=slâ                           
correct=I-EntityLOC guess=O        word=slâ                           
correct=I-EntityLOC guess=O        word=slâfstat                      
correct=I-EntityLOC guess=O        word=solde                         
correct=I-EntityLOC guess=O        word=spanbette                     
correct=I-EntityLOC guess=O        word=spanbette                     
correct=I-EntityLOC guess=O        word=spanbette                     
correct=I-EntityLOC guess=O        word=stade                         
correct=I-EntityLOC guess=O        word=stat                          
correct=I-EntityLOC guess=O        word=stat                          
correct=I-EntityLOC guess=O        word=stat                          
correct=I-EntityLOC guess=O        word=stat                          
correct=I-EntityLOC guess=O        word=stat                          
correct=I-EntityLOC guess=O        word=stat                          
correct=I-EntityLOC guess=O        word=stat                          
correct=I-EntityLOC guess=O        word=stat                          
correct=I-EntityLOC guess=O        word=stegen                        
correct=I-EntityLOC guess=O        word=stêt                          
correct=I-EntityLOC guess=O        word=sê                            
correct=I-EntityLOC guess=O        word=sîns                          
correct=I-EntityLOC guess=O        word=sô                            
correct=I-EntityLOC guess=O        word=sô                            
correct=I-EntityLOC guess=O        word=taveln                        
correct=I-EntityLOC guess=O        word=taveln                        
correct=I-EntityLOC guess=O        word=taveln                        
correct=I-EntityLOC guess=O        word=tepch                         
correct=I-EntityLOC guess=O        word=teppech                       
correct=I-EntityLOC guess=O        word=teppech                       
correct=I-EntityLOC guess=O        word=tür                           
correct=I-EntityLOC guess=O        word=tür                           
correct=I-EntityLOC guess=O        word=tür                           
correct=I-EntityLOC guess=O        word=tür                           
correct=I-EntityLOC guess=O        word=tür                           
correct=I-EntityLOC guess=O        word=tür                           
correct=I-EntityLOC guess=O        word=tür                           
correct=I-EntityLOC guess=O        word=unde                          
correct=I-EntityLOC guess=O        word=urteillîche                   
correct=I-EntityLOC guess=O        word=velse                         
correct=I-EntityLOC guess=O        word=velses                        
correct=I-EntityLOC guess=O        word=velt                          
correct=I-EntityLOC guess=O        word=vier                          
correct=I-EntityLOC guess=O        word=vier                          
correct=I-EntityLOC guess=O        word=viwerstat                     
correct=I-EntityLOC guess=O        word=vôrest                        
correct=I-EntityLOC guess=O        word=wal                           
correct=I-EntityLOC guess=O        word=waldes                        
correct=I-EntityLOC guess=O        word=want                          
correct=I-EntityLOC guess=O        word=was                           
correct=I-EntityLOC guess=O        word=wasen                         
correct=I-EntityLOC guess=O        word=waste                         
correct=I-EntityLOC guess=O        word=weidehûs                      
correct=I-EntityLOC guess=O        word=weidehûsen                    
correct=I-EntityLOC guess=O        word=wenden                        
correct=I-EntityLOC guess=O        word=wenden                        
correct=I-EntityLOC guess=O        word=wilden                        
correct=I-EntityLOC guess=O        word=wirtes                        
correct=I-EntityLOC guess=O        word=wol                           
correct=I-EntityLOC guess=O        word=wolde                         
correct=I-EntityLOC guess=O        word=wît                           
correct=I-EntityLOC guess=O        word=wît                           
correct=I-EntityLOC guess=O        word=wüeste                        
correct=I-EntityLOC guess=O        word=zAnschouwe                    
correct=I-EntityLOC guess=O        word=ze                            
correct=I-EntityLOC guess=O        word=ze                            
correct=I-EntityLOC guess=O        word=ze                            
correct=I-EntityLOC guess=O        word=ze                            
correct=I-EntityLOC guess=O        word=zem                           
correct=I-EntityLOC guess=O        word=zinnen                        
correct=I-EntityLOC guess=O        word=ûf                            
correct=I-EntityLOC guess=O        word=ûf                            
correct=I-EntityPER guess=B-EntityPER word=Artûs                         
correct=I-EntityPER guess=B-EntityPER word=Artûs                         
correct=I-EntityPER guess=B-EntityPER word=Brandigân                     
correct=I-EntityPER guess=B-EntityPER word=Brandigân                     
correct=I-EntityPER guess=B-EntityPER word=Brandigân                     
correct=I-EntityPER guess=B-EntityPER word=Brandigân                     
correct=I-EntityPER guess=B-EntityPER word=Clâmidê                       
correct=I-EntityPER guess=B-EntityPER word=Clâmidê                       
correct=I-EntityPER guess=B-EntityPER word=Clâmidê                       
correct=I-EntityPER guess=B-EntityPER word=Cunnewâre                     
correct=I-EntityPER guess=B-EntityPER word=Cunnewâre                     
correct=I-EntityPER guess=B-EntityPER word=Cunnewâre                     
correct=I-EntityPER guess=B-EntityPER word=Cunnewâren                    
correct=I-EntityPER guess=B-EntityPER word=Cunnewâren                    
correct=I-EntityPER guess=B-EntityPER word=Frimutel                      
correct=I-EntityPER guess=B-EntityPER word=Frimutel                      
correct=I-EntityPER guess=B-EntityPER word=Gahmuret                      
correct=I-EntityPER guess=B-EntityPER word=Garschiloyen                  
correct=I-EntityPER guess=B-EntityPER word=Ginovêr                       
correct=I-EntityPER guess=B-EntityPER word=Gippones                      
correct=I-EntityPER guess=B-EntityPER word=Grâharz                       
correct=I-EntityPER guess=B-EntityPER word=Grîgorz                       
correct=I-EntityPER guess=B-EntityPER word=Ipotente                      
correct=I-EntityPER guess=B-EntityPER word=Iserterre                     
correct=I-EntityPER guess=B-EntityPER word=Iwân                          
correct=I-EntityPER guess=B-EntityPER word=Jeschûten                     
correct=I-EntityPER guess=B-EntityPER word=Jeschûten                     
correct=I-EntityPER guess=B-EntityPER word=Jeschûten                     
correct=I-EntityPER guess=B-EntityPER word=Jûdas                         
correct=I-EntityPER guess=B-EntityPER word=Kingrûn                       
correct=I-EntityPER guess=B-EntityPER word=Kukûmerlant                   
correct=I-EntityPER guess=B-EntityPER word=Kukûmerlant                   
correct=I-EntityPER guess=B-EntityPER word=Lâlander                      
correct=I-EntityPER guess=B-EntityPER word=Lâlant                        
correct=I-EntityPER guess=B-EntityPER word=Lâlant                        
correct=I-EntityPER guess=B-EntityPER word=Lâlant                        
correct=I-EntityPER guess=B-EntityPER word=Lîâzen                        
correct=I-EntityPER guess=B-EntityPER word=Mâbonagrîn                    
correct=I-EntityPER guess=B-EntityPER word=Nârant                        
correct=I-EntityPER guess=B-EntityPER word=Nârant                        
correct=I-EntityPER guess=B-EntityPER word=Nônel                         
correct=I-EntityPER guess=B-EntityPER word=Orilus                        
correct=I-EntityPER guess=B-EntityPER word=Orilus                        
correct=I-EntityPER guess=B-EntityPER word=Orilus                        
correct=I-EntityPER guess=B-EntityPER word=Parzivâl                      
correct=I-EntityPER guess=B-EntityPER word=Parzivâl                      
correct=I-EntityPER guess=B-EntityPER word=Parzivâl                      
correct=I-EntityPER guess=B-EntityPER word=Parzivâl                      
correct=I-EntityPER guess=B-EntityPER word=Parzivâl                      
correct=I-EntityPER guess=B-EntityPER word=Parzivâl                      
correct=I-EntityPER guess=B-EntityPER word=Parzivâl                      
correct=I-EntityPER guess=B-EntityPER word=Poncîâ                        
correct=I-EntityPER guess=B-EntityPER word=Tampenteire                   
correct=I-EntityPER guess=B-EntityPER word=Tampenteire                   
correct=I-EntityPER guess=B-EntityPER word=Tenabroc                      
correct=I-EntityPER guess=B-EntityPER word=Tyturel                       
correct=I-EntityPER guess=B-EntityPER word=Ukerlant                      
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=,                             
correct=I-EntityPER guess=O        word=Berteneise                    
correct=I-EntityPER guess=O        word=Berteneisen                   
correct=I-EntityPER guess=O        word=Bertûn                        
correct=I-EntityPER guess=O        word=Bertûn                        
correct=I-EntityPER guess=O        word=Bertûn                        
correct=I-EntityPER guess=O        word=Brôbarzaere                   
correct=I-EntityPER guess=O        word=Clâmidê                       
correct=I-EntityPER guess=O        word=Jêsus                         
correct=I-EntityPER guess=O        word=Kyôt                          
correct=I-EntityPER guess=O        word=Lâlander                      
correct=I-EntityPER guess=O        word=Lähelîn                       
correct=I-EntityPER guess=O        word=Lûneten                       
correct=I-EntityPER guess=O        word=Rîl                           
correct=I-EntityPER guess=O        word=Schenteflûr                   
correct=I-EntityPER guess=O        word=Wâleis                        
correct=I-EntityPER guess=O        word=Wâleise                       
correct=I-EntityPER guess=O        word=aht                           
correct=I-EntityPER guess=O        word=ahte                          
correct=I-EntityPER guess=O        word=al                            
correct=I-EntityPER guess=O        word=allen                         
correct=I-EntityPER guess=O        word=aller                         
correct=I-EntityPER guess=O        word=alt                           
correct=I-EntityPER guess=O        word=alte                          
correct=I-EntityPER guess=O        word=alten                         
correct=I-EntityPER guess=O        word=alten                         
correct=I-EntityPER guess=O        word=ambet                         
correct=I-EntityPER guess=O        word=an                            
correct=I-EntityPER guess=O        word=andern                        
correct=I-EntityPER guess=O        word=anders                        
correct=I-EntityPER guess=O        word=arm                           
correct=I-EntityPER guess=O        word=arme                          
correct=I-EntityPER guess=O        word=arme                          
correct=I-EntityPER guess=O        word=armen                         
correct=I-EntityPER guess=O        word=armen                         
correct=I-EntityPER guess=O        word=armiu                         
correct=I-EntityPER guess=O        word=armman                        
correct=I-EntityPER guess=O        word=balsemvaz                     
correct=I-EntityPER guess=O        word=balt                          
correct=I-EntityPER guess=O        word=bart                          
correct=I-EntityPER guess=O        word=bart                          
correct=I-EntityPER guess=O        word=becken                        
correct=I-EntityPER guess=O        word=besten                        
correct=I-EntityPER guess=O        word=betwungen                     
correct=I-EntityPER guess=O        word=betwungene                    
correct=I-EntityPER guess=O        word=betwungene                    
correct=I-EntityPER guess=O        word=blôze                         
correct=I-EntityPER guess=O        word=blôzen                        
correct=I-EntityPER guess=O        word=blôziu                        
correct=I-EntityPER guess=O        word=bote                          
correct=I-EntityPER guess=O        word=bruoder                       
correct=I-EntityPER guess=O        word=bruoder                       
correct=I-EntityPER guess=O        word=bruoder                       
correct=I-EntityPER guess=O        word=bruoder                       
correct=I-EntityPER guess=O        word=brût                          
correct=I-EntityPER guess=O        word=burgaer                       
correct=I-EntityPER guess=O        word=burgaer                       
correct=I-EntityPER guess=O        word=burgaer                       
correct=I-EntityPER guess=O        word=burgaer                       
correct=I-EntityPER guess=O        word=burgaer                       
correct=I-EntityPER guess=O        word=burgaer                       
correct=I-EntityPER guess=O        word=burgaere                      
correct=I-EntityPER guess=O        word=burgaere                      
correct=I-EntityPER guess=O        word=burgaere                      
correct=I-EntityPER guess=O        word=burgaere                      
correct=I-EntityPER guess=O        word=burgaere                      
correct=I-EntityPER guess=O        word=burgaere                      
correct=I-EntityPER guess=O        word=burgaere                      
correct=I-EntityPER guess=O        word=burgaern                      
correct=I-EntityPER guess=O        word=bêdiu                         
correct=I-EntityPER guess=O        word=bî                            
correct=I-EntityPER guess=O        word=clâre                         
correct=I-EntityPER guess=O        word=dar                           
correct=I-EntityPER guess=O        word=daz                           
correct=I-EntityPER guess=O        word=de                            
correct=I-EntityPER guess=O        word=de                            
correct=I-EntityPER guess=O        word=de                            
correct=I-EntityPER guess=O        word=de                            
correct=I-EntityPER guess=O        word=de                            
correct=I-EntityPER guess=O        word=de                            
correct=I-EntityPER guess=O        word=de                            
correct=I-EntityPER guess=O        word=de                            
correct=I-EntityPER guess=O        word=de                            
correct=I-EntityPER guess=O        word=de                            
correct=I-EntityPER guess=O        word=de                            
correct=I-EntityPER guess=O        word=degen                         
correct=I-EntityPER guess=O        word=degen                         
correct=I-EntityPER guess=O        word=degen                         
correct=I-EntityPER guess=O        word=degen                         
correct=I-EntityPER guess=O        word=degen                         
correct=I-EntityPER guess=O        word=degen                         
correct=I-EntityPER guess=O        word=degen                         
correct=I-EntityPER guess=O        word=degen                         
correct=I-EntityPER guess=O        word=degen                         
correct=I-EntityPER guess=O        word=degen                         
correct=I-EntityPER guess=O        word=dem                           
correct=I-EntityPER guess=O        word=dem                           
correct=I-EntityPER guess=O        word=dem                           
correct=I-EntityPER guess=O        word=dem                           
correct=I-EntityPER guess=O        word=dem                           
correct=I-EntityPER guess=O        word=den                           
correct=I-EntityPER guess=O        word=den                           
correct=I-EntityPER guess=O        word=den                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=der                           
correct=I-EntityPER guess=O        word=des                           
correct=I-EntityPER guess=O        word=des                           
correct=I-EntityPER guess=O        word=des                           
correct=I-EntityPER guess=O        word=des                           
correct=I-EntityPER guess=O        word=die                           
correct=I-EntityPER guess=O        word=die                           
correct=I-EntityPER guess=O        word=die                           
correct=I-EntityPER guess=O        word=die                           
correct=I-EntityPER guess=O        word=die                           
correct=I-EntityPER guess=O        word=die                           
correct=I-EntityPER guess=O        word=die                           
correct=I-EntityPER guess=O        word=dienst                        
correct=I-EntityPER guess=O        word=dienste                       
correct=I-EntityPER guess=O        word=dier                          
correct=I-EntityPER guess=O        word=diet                          
correct=I-EntityPER guess=O        word=diet                          
correct=I-EntityPER guess=O        word=diet                          
correct=I-EntityPER guess=O        word=dir                           
correct=I-EntityPER guess=O        word=dir                           
correct=I-EntityPER guess=O        word=diu                           
correct=I-EntityPER guess=O        word=diu                           
correct=I-EntityPER guess=O        word=diu                           
correct=I-EntityPER guess=O        word=diu                           
correct=I-EntityPER guess=O        word=diu                           
correct=I-EntityPER guess=O        word=diu                           
correct=I-EntityPER guess=O        word=diu                           
correct=I-EntityPER guess=O        word=diu                           
correct=I-EntityPER guess=O        word=drîzec                        
correct=I-EntityPER guess=O        word=durch                         
correct=I-EntityPER guess=O        word=dâ                            
correct=I-EntityPER guess=O        word=dâ                            
correct=I-EntityPER guess=O        word=dâ                            
correct=I-EntityPER guess=O        word=dâ                            
correct=I-EntityPER guess=O        word=dîn                           
correct=I-EntityPER guess=O        word=dînen                         
correct=I-EntityPER guess=O        word=edele                         
correct=I-EntityPER guess=O        word=eime                          
correct=I-EntityPER guess=O        word=ein                           
correct=I-EntityPER guess=O        word=ein                           
correct=I-EntityPER guess=O        word=ein                           
correct=I-EntityPER guess=O        word=eine                          
correct=I-EntityPER guess=O        word=ellens                        
correct=I-EntityPER guess=O        word=ellens                        
correct=I-EntityPER guess=O        word=ellens                        
correct=I-EntityPER guess=O        word=ellenthaftez                  
correct=I-EntityPER guess=O        word=er                            
correct=I-EntityPER guess=O        word=er                            
correct=I-EntityPER guess=O        word=erwelt                        
correct=I-EntityPER guess=O        word=gar                           
correct=I-EntityPER guess=O        word=gast                          
correct=I-EntityPER guess=O        word=gast                          
correct=I-EntityPER guess=O        word=gast                          
correct=I-EntityPER guess=O        word=gast                          
correct=I-EntityPER guess=O        word=gaste                         
correct=I-EntityPER guess=O        word=gaste                         
correct=I-EntityPER guess=O        word=gaste                         
